#Num_questions, Num_answers, Dead, All
0,1,112377,235263
0,2,17901,99140
0,3,7481,71426
0,4,4580,57759
0,5,3004,48775
0,6,2194,42364
0,7,1577,37499
0,8,1315,33757
0,9,1075,30568
0,10,867,27873
0,11,770,25631
0,12,635,23710
0,13,550,22036
0,14,464,20502
0,15,407,19230
0,16,379,18075
0,17,307,16954
0,18,284,15989
0,19,261,15131
0,20,238,14312
1,0,189911,460689
1,1,22479,95523
1,2,6115,48568
1,3,3068,34979
1,4,2071,28420
1,5,1401,24003
1,6,1059,21133
1,7,824,18753
1,8,631,16887
1,9,586,15514
1,10,449,14218
1,11,386,13191
1,12,359,12219
1,13,299,11460
1,14,255,10780
1,15,235,10169
1,16,209,9682
1,17,181,9214
1,18,151,8715
1,19,159,8347
2,0,36157,179751
2,1,8844,58676
2,2,3572,32028
2,3,1887,22232
2,4,1204,17867
2,5,869,15047
2,6,715,13344
2,7,553,11964
2,8,432,10782
2,9,389,9889
2,10,332,9131
2,11,258,8626
2,12,212,8046
2,13,199,7601
2,14,188,7218
2,15,169,6854
2,16,168,6434
2,17,152,6153
2,18,112,5821
3,0,14118,107139
3,1,4613,41652
3,2,2253,24376
3,3,1265,16656
3,4,819,12962
3,5,590,10823
3,6,456,9486
3,7,386,8505
3,8,303,7860
3,9,255,7195
3,10,212,6582
3,11,192,6204
3,12,170,5816
3,13,160,5426
3,14,122,5142
3,15,115,4961
3,16,121,4694
3,17,88,4483
4,0,7376,73203
4,1,2749,31539
4,2,1550,19590
4,3,928,13494
4,4,577,10429
4,5,447,8657
4,6,374,7449
4,7,287,6524
4,8,243,6003
4,9,186,5600
4,10,146,5199
4,11,158,4846
4,12,113,4594
4,13,109,4247
4,14,104,4063
4,15,86,3874
4,16,88,3718
5,0,4259,53802
5,1,1746,24943
5,2,1078,16216
5,3,679,11307
5,4,444,8578
5,5,373,7180
5,6,279,6196
5,7,209,5405
5,8,179,4886
5,9,147,4487
5,10,128,4217
5,11,118,3869
5,12,79,3755
5,13,108,3551
5,14,76,3376
5,15,66,3171
