#Consistency(+),Clarity,Frequency,Quality,Relative Quality,Speed,Content,Knowledge Relevance(-),Temporal Gap
50,53,53.1,53.2,53.3,57.3,54.4,61.5,69.7,72.7
51,52.6,52.4,52.6,51.7,53.9,52.6,60.8,61.8,67.1
51.8,52.9,52.9,52.4,50.9,53.1,52.1,59.1,61.8,64.4
52.6,53.1,53.4,53.2,50.9,52.2,51.8,57.8,63.2,65.0
53.1,52.6,52.9,53.1,50.6,52.5,52.6,57,64,65.2
55.8,55.4,52.3,55.2,53.6,53.2,52,54.6,70.5,69.4
53.3,53.7,52.5,53.8,53.3,53.4,53,56,70.1,69.7
55.5,53.4,54.8,55.3,52.4,53.4,52.5,56.1,71.2,70.3
56.4,52.9,53.4,56.3,54.5,52.2,51.6,56.9,69.7,69.3
55.7,54.1,51.3,55.8,53,52.1,52.5,58.2,71,71.2
59.7,56.5,65.6,58.5,59.5,59.4,65.6,66,69.4,70.59
62.7,57.7,68.4,59.5,61.8,61.8,68.4,68.8,70.6,72.15
65.6,59.2,70.5,60.4,64.3,64.3,70.5,71.3,73.1,74.05
