#churner,k,avg(mean_accepted_answerer_rep)
0,1,24310.9331
0,2,24131.2580
0,3,24170.2184
0,4,24160.4226
0,5,24179.4619
0,6,24295.2694
0,7,24435.1715
0,8,24518.7484
0,9,24792.9263
0,10,24823.4447
0,11,24956.2104
0,12,25116.1085
0,13,25178.0318
0,14,25254.0281
0,15,25314.5935
0,16,25418.5011
0,17,25600.7416
0,18,25699.7995
0,19,25835.0202
0,20,25865.6995
1,1,31925.4391
1,2,27544.7863
1,3,27210.6127
1,4,27958.9404
1,5,27519.9634
1,6,27690.7996
1,7,27319.9897
1,8,28192.9630
1,9,27700.8238
1,10,28444.1308
1,11,27781.8632
1,12,29222.7730
1,13,27672.7229
1,14,27322.4491
1,15,28585.9924
1,16,27694.6931
1,17,28544.8386
1,18,28476.1894
1,19,27104.0812
1,20,29787.3044
