#churner,k,avg(answering_speed)
0,1,167084.7786
0,2,117004.2375
0,3,100825.7450
0,4,91714.3332
0,5,85397.5354
0,6,80127.2996
0,7,75956.7590
0,8,72433.1409
0,9,69459.1888
0,10,66895.1029
0,11,64067.8924
0,12,61930.9919
0,13,60003.2927
0,14,58029.7262
0,15,56464.8374
0,16,54948.0967
0,17,53538.9850
0,18,52220.3971
0,19,50807.5876
0,20,49659.8733
1,1,338255.0885
1,2,154502.1293
1,3,123923.4271
1,4,102422.1768
1,5,91636.0571
1,6,87402.9753
1,7,76168.6289
1,8,74023.4978
1,9,70085.0074
1,10,63975.3274
1,11,63999.4245
1,12,59180.6406
1,13,54607.9802
1,14,53641.1731
1,15,49185.7873
1,16,47133.1890
1,17,44645.0853
1,18,45758.4668
1,19,44335.6823
1,20,46213.4897
