churner,k,avg(mean_max_rep_answerer)
0,1,31809.8404
0,2,32030.0802
0,3,32510.6143
0,4,32988.1340
0,5,33419.3795
0,6,33856.0891
0,7,34241.7252
0,8,34504.4820
0,9,34924.3250
0,10,35157.4854
0,11,35501.3490
0,12,35786.7304
0,13,36035.0095
0,14,36338.0064
0,15,36577.7566
0,16,36841.8350
0,17,37072.1497
0,18,37345.1766
0,19,37585.4839
0,20,37701.7292
1,1,33313.6647
1,2,32148.2026
1,3,34239.1392
1,4,35305.2038
1,5,35771.2394
1,6,37116.9968
1,7,37016.6783
1,8,37425.5553
1,9,37636.3305
1,10,38765.8296
1,11,38283.1018
1,12,40655.1744
1,13,38791.1249
1,14,37791.3486
1,15,39745.8682
1,16,40022.3967
1,17,40644.2812
1,18,40386.5476
1,19,39896.3250
1,20,41740.0119
