#churner,k,avg(num_answers_recvd)
0,1,1.9788092090199352
0,2,2.0549811205790305
0,3,2.100106490411608
0,4,2.138990481600878
0,5,2.170682864342767
0,6,2.203424192687538
0,7,2.2323317075413414
0,8,2.2553643339136897
0,9,2.279910707278183
0,10,2.29880388075313
0,11,2.3173822555641728
0,12,2.3367073288116385
0,13,2.3503354552001356
0,14,2.365407285681733
0,15,2.380108634687455
0,16,2.394882133107476
0,17,2.4094885293833506
0,18,2.4232486893857903
0,19,2.4327651850206413
0,20,2.441363051462394
1,1,1.7733411966658066
1,2,1.9708881915546763
1,3,2.0638935699324565
1,4,2.137531983778157
1,5,2.176492171407837
1,6,2.2350821499802414
1,7,2.277393809317967
1,8,2.300575815165629
1,9,2.36496922352923
1,10,2.391102620110111
1,11,2.4213759824746086
1,12,2.4549545595622075
1,13,2.479588311814228
1,14,2.422303149770288
1,15,2.4946209397422576
1,16,2.558559796855234
1,17,2.5227902353142895
1,18,2.521525594597458
1,19,2.5599504212940594
1,20,2.5904450871859845
