#churner,k,avg(num_questions/k)
0,1,0.68784039
0,2,0.60466568
0,3,0.56326185
0,4,0.53514593
0,5,0.51449350
0,6,0.49732786
0,7,0.48283441
0,8,0.47025508
0,9,0.45978219
0,10,0.45077490
0,11,0.44229460
0,12,0.43461870
0,13,0.42762190
0,14,0.42127833
0,15,0.41482940
0,16,0.40963854
0,17,0.40424298
0,18,0.39973624
0,19,0.39494678
0,20,0.39066476
1,1,0.62824525
1,2,0.61926258
1,3,0.60321747
1,4,0.57687750
1,5,0.55347346
1,6,0.53740542
1,7,0.52815322
1,8,0.50965026
1,9,0.49717219
1,10,0.48285295
1,11,0.47982121
1,12,0.45709502
1,13,0.44978481
1,14,0.44914167
1,15,0.43478421
1,16,0.42575052
1,17,0.42915498
1,18,0.40153357
1,19,0.40079225
1,20,0.39827153
