#churner,k,avg(q_post_length)
0,1,859.2111
0,2,885.8747
0,3,887.9546
0,4,888.7285
0,5,888.6621
0,6,888.7703
0,7,888.6050
0,8,888.3282
0,9,891.7882
0,10,892.0280
0,11,895.5171
0,12,896.3370
0,13,898.6337
0,14,902.2162
0,15,902.6309
0,16,904.7618
0,17,907.6631
0,18,910.7948
0,19,912.1593
0,20,914.7699
1,1,669.6028
1,2,906.4784
1,3,919.0474
1,4,898.1149
1,5,911.2079
1,6,904.2402
1,7,910.1588
1,8,908.5786
1,9,877.1032
1,10,899.0554
1,11,884.2380
1,12,885.4384
1,13,888.6690
1,14,901.0876
1,15,937.1763
1,16,866.1267
1,17,881.4506
1,18,918.6556
1,19,902.5215
1,20,904.4249
