#churner,k,avg(gap7 )
0,1,NULL
0,2,NULL
0,3,NULL
0,4,NULL
0,5,NULL
0,6,NULL
0,7,28797.0488
0,8,25839.7394
0,9,23785.1480
0,10,22171.7577
0,11,20717.4949
0,12,19717.9123
0,13,18775.4877
0,14,17905.9543
0,15,17338.2287
0,16,16747.0574
0,17,16330.2767
0,18,15845.0719
0,19,15434.2855
0,20,14995.0589
1,1,NULL
1,2,NULL
1,3,NULL
1,4,NULL
1,5,NULL
1,6,NULL
1,7,93384.3956
1,8,64635.0478
1,9,50172.6364
1,10,40198.7394
1,11,37357.0284
1,12,33023.2158
1,13,31585.6557
1,14,25584.2454
1,15,23785.0783
1,16,20827.2315
1,17,18626.4583
1,18,19974.9307
1,19,17772.1292
1,20,18888.5720
